dataTitle	url	Andrew_Jackson	Hair	Bomber	Flynn_effect	Annapolis_Valley	Eli_Whitney	Glacier	Ann_Widdecombe	EPR_paradox	Bipolar_disorder	Electric_guitar	David_Brewster	Fullerene	Daily_Planet	Doraemon	History_of_Grenada	Decimal	Bison	Andersonville__Georgia	Albert_Sidney_Johnston
                                              Bomber	https://en.wikipedia.org/wiki/Bomber	0.1333	0.1636	0.9206	0.1419	0.0902	0.1417	0.1493	0.1178	0.1154	0.1428	0.1585	0.1489	0.1403	0.1434	0.1237	0.1564	0.1415	0.1576	0.0698	0.1462
                                      Ann Widdecombe	https://en.wikipedia.org/wiki/Ann+Widdecombe	0.2051	0.2144	0.1959	0.2275	0.0912	0.1988	0.2046	0.7413	0.1821	0.2256	0.1746	0.2183	0.1969	0.1763	0.2410	0.2212	0.1929	0.2075	0.1497	0.1651
                                         EPR paradox	https://en.wikipedia.org/wiki/EPR+paradox	0.1138	0.1767	0.1320	0.1678	0.0572	0.1321	0.1572	0.1079	0.6968	0.1416	0.1478	0.1529	0.1825	0.1270	0.1058	0.1193	0.1592	0.1585	0.0547	0.1213
                                    Bipolar disorder	https://en.wikipedia.org/wiki/Bipolar+disorder	0.1582	0.1990	0.1307	0.2366	0.0588	0.1603	0.1726	0.1265	0.1795	0.5162	0.1467	0.1501	0.2111	0.1199	0.1395	0.1362	0.1838	0.2132	0.0751	0.1196
                                     Electric guitar	https://en.wikipedia.org/wiki/Electric+guitar	0.1161	0.1607	0.1412	0.1233	0.0708	0.1218	0.1422	0.1014	0.1258	0.1333	0.5255	0.1372	0.1365	0.1142	0.1289	0.1281	0.1305	0.1484	0.0546	0.1116
                                      David Brewster	https://en.wikipedia.org/wiki/David+Brewster	0.1976	0.1997	0.1573	0.1763	0.0920	0.1919	0.1699	0.1713	0.1626	0.1817	0.1628	0.9188	0.1791	0.1570	0.1514	0.1744	0.1774	0.1986	0.0908	0.1792
                                           Fullerene	https://en.wikipedia.org/wiki/Fullerene	0.1176	0.1784	0.1251	0.1815	0.0608	0.1396	0.1745	0.1129	0.1787	0.1773	0.1494	0.1456	0.6674	0.1124	0.1259	0.1211	0.1672	0.1712	0.0623	0.1127
                                        Daily Planet	https://en.wikipedia.org/wiki/Daily+Planet	0.1466	0.1552	0.1311	0.1410	0.0915	0.1467	0.1487	0.1589	0.1320	0.1388	0.1532	0.1557	0.1367	0.9196	0.1809	0.1620	0.1236	0.1534	0.0782	0.1391
                                            Doraemon	https://en.wikipedia.org/wiki/Doraemon	0.1816	0.2015	0.1672	0.1908	0.0900	0.1870	0.1861	0.2081	0.1623	0.2104	0.1870	0.1850	0.1771	0.1801	0.9207	0.1903	0.1855	0.2103	0.1385	0.1467
                                  History of Grenada	https://en.wikipedia.org/wiki/History+of+Grenada	0.1785	0.1719	0.1706	0.1665	0.1194	0.2007	0.1675	0.1846	0.1475	0.1609	0.1695	0.1967	0.1445	0.1731	0.1600	0.9194	0.1572	0.1841	0.1173	0.1838
