dataTitle	Ammianus_Marcellinus	Braille	BIND	Condom	Association_football	Economy_of_Croatia	Committee_on_Data_for_Science_and_Technology	Isolationism	Clock	Balkans	Afghan_Hound	Digamma	Geography_of_Bosnia_and_Herzegovina	Casa_Mil_	Euler_s_formula	Caesium	Hertz	Dave_Barry	Habitus__sociology_	Empress_Gensh_
                                                 Condom	0.0604	0.1299	0.0685	0.3102	0.1264	0.0439	0.0123	0.0502	0.1979	0.1028	0.1012	0.0686	0.0084	0.0025	0.0149	0.1676	0.0688	0.0501	0.0699	0.0237
                                   Association football	0.0574	0.1467	0.0686	0.1680	0.3405	0.0453	0.0060	0.0628	0.2041	0.1210	0.1144	0.0667	0.0192	0.0094	0.0178	0.1611	0.0847	0.0700	0.0645	0.0259
           Committee on Data for Science and Technology	0.0466	0.1197	0.0688	0.1591	0.1135	0.0435	0.2323	0.0394	0.2067	0.0927	0.0859	0.0736	0.0055	0.0028	0.0290	0.1873	0.0699	0.0356	0.0653	0.0182
                                                  Clock	0.0519	0.1146	0.0440	0.1244	0.0994	0.0244	-0.0079	0.0454	0.3925	0.0769	0.0670	0.0674	0.0171	0.0008	0.0196	0.1531	0.0667	0.0231	0.0581	0.0172
                                                Balkans	0.0621	0.1049	0.0563	0.1213	0.1155	0.0604	0.0017	0.0614	0.1785	0.2720	0.0787	0.0655	0.0453	0.0033	0.0143	0.1273	0.0578	0.0445	0.0554	0.0235
                                           Afghan Hound	0.0521	0.1166	0.0456	0.1279	0.1107	0.0300	-0.0006	0.0417	0.1703	0.0875	0.2802	0.0637	0.0238	0.0040	0.0111	0.1260	0.0598	0.0435	0.0541	0.0199
                    Geography of Bosnia and Herzegovina	0.0399	0.0801	0.0202	0.0707	0.0693	0.0366	-0.0228	0.0379	0.1412	0.1407	0.0551	0.0499	0.2936	-0.0034	0.0132	0.0922	0.0375	0.0112	0.0391	0.0043
                                                Digamma	0.0755	0.1373	0.0356	0.1039	0.0853	0.0283	-0.0087	0.0399	0.1824	0.0777	0.0634	0.3238	0.0188	-0.0009	0.0288	0.1132	0.0478	0.0179	0.0636	0.0133
                                              Casa Milà	0.0459	0.0921	0.0333	0.0914	0.0713	0.0154	-0.0191	0.0372	0.1525	0.0607	0.0551	0.0553	0.0234	0.0963	0.0171	0.1000	0.0342	0.0097	0.0456	0.0132
                                        Euler's formula	0.0214	0.0964	0.0187	0.0705	0.0596	0.0089	-0.0129	0.0203	0.1414	0.0469	0.0299	0.0489	0.0008	-0.0078	0.2956	0.0953	0.0530	0.0000	0.0328	-0.0004
                                                Caesium	0.0455	0.1101	0.0525	0.1397	0.0997	0.0411	0.0070	0.0387	0.1981	0.0910	0.0824	0.0663	0.0150	-0.0002	0.0200	0.3592	0.0784	0.0321	0.0608	0.0206
                                             Dave Barry	0.0558	0.1025	0.0512	0.1068	0.0911	0.0200	-0.0034	0.0500	0.1489	0.0854	0.0717	0.0447	0.0130	0.0085	0.0027	0.1044	0.0491	0.2191	0.0589	0.0351
                                                  Hertz	0.0399	0.1266	0.0403	0.1185	0.0985	0.0182	-0.0066	0.0438	0.2103	0.0755	0.0608	0.0565	0.0220	0.0013	0.0285	0.1710	0.3391	0.0210	0.0543	0.0158
                                    Habitus (sociology)	0.0623	0.0949	0.0338	0.1078	0.0946	0.0196	-0.0143	0.0544	0.1604	0.0740	0.0579	0.0594	0.0218	0.0012	0.0124	0.1130	0.0498	0.0263	0.3004	0.0240
                                         Empress Genshō	0.0618	0.0839	0.0298	0.0834	0.0782	0.0131	-0.0093	0.0489	0.1314	0.0619	0.0483	0.0465	0.0119	0.0042	0.0142	0.0863	0.0335	0.0272	0.0492	0.2800
                                   Ammianus Marcellinus	0.3132	0.0813	0.0282	0.0899	0.0706	0.0122	-0.0125	0.0447	0.1550	0.0670	0.0501	0.0717	0.0141	-0.0010	0.0076	0.0859	0.0346	0.0206	0.0599	0.0266
                                                Braille	0.0468	0.3399	0.0324	0.1046	0.0831	0.0162	-0.0165	0.0368	0.1671	0.0585	0.0579	0.0724	0.0174	-0.0022	0.0146	0.1085	0.0457	0.0155	0.0459	0.0082
                                                   BIND	0.0518	0.1343	0.3628	0.1354	0.1146	0.0355	0.0075	0.0504	0.1850	0.0915	0.0764	0.0545	0.0143	0.0117	0.0118	0.1391	0.0756	0.0549	0.0606	0.0211
                                     Economy of Croatia	0.0460	0.1024	0.0428	0.1097	0.0893	0.1704	-0.0035	0.0483	0.1565	0.1155	0.0633	0.0525	0.0320	0.0060	0.0153	0.1149	0.0415	0.0318	0.0437	0.0173
                                 Bulgarian Armed Forces	0.0457	0.0836	0.0323	0.0847	0.0758	0.0216	-0.0187	0.0444	0.1297	0.0966	0.0456	0.0382	0.0206	0.0001	0.0093	0.0932	0.0286	0.0170	0.0376	0.0091
                                           Isolationism	0.0583	0.0953	0.0310	0.1036	0.0804	0.0148	-0.0184	0.2065	0.1633	0.0833	0.0461	0.0392	0.0177	-0.0049	0.0049	0.0932	0.0310	0.0229	0.0591	0.0198
